iter	Passed	Remaining
974	5807	148
975	5813	142
976	5819	136
977	5824	131
978	5829	125
979	5835	119
980	5841	113
981	5847	107
982	5853	101
983	5859	95
984	5865	89
985	5870	83
986	5876	77
987	5882	71
988	5887	65
989	5892	59
990	5898	53
991	5904	47
992	5910	41
993	5916	35
994	5921	29
995	5927	23
996	5933	17
997	5938	11
998	5944	5
999	5950	0
